op x y w h
bc0_gen_0         0 1 1 1
bc1_gen_0         0 1 1 1
bc1_gen_1         0 1 1 1
bc1_gen_2         0 1 1 1
bc2_gen_0         0 1 1 1
bc2_gen_1         0 1 1 1
bd_gen_0          0 1 1 1
bd_gen_1          0 1 1 1
bd_gen_2          0 1 1 1
bd_gen_3          0 1 1 1
bd_gen_4          0 1 1 1
bd_gen_5          0 1 1 1
bd_gen_6          0 1 1 1
bd_gen_7          0 1 1 1
bd_gen_8          0 1 1 1
bd_gen_9          0 1 1 1
bin_conv_0        0 1 1 1
bin_conv_1        0 1 1 1
bin_conv_2        0 1 1 1
bin_dense_wrapper 0 1 1 1
data_transfer     0 1 1 1
fp_conv           0 1 1 1
