op x y w h
imageScaler_bot      0 1 1 1
imageScaler_top      0 1 1 1
sfilter0             0 1 1 1
sfilter1             0 1 1 1
sfilter2             0 1 1 1
sfilter3             0 1 1 1
sfilter4             0 1 1 1
strong_classifier    0 1 1 1
weak_data_req_simple 0 1 1 1
weak_process_new     0 1 1 1
wfilter0             0 1 1 1
wfilter0_process     0 1 1 1
wfilter1             0 1 1 1
wfilter1_process     0 1 1 1
wfilter2             0 1 1 1
wfilter2_process     0 1 1 1
wfilter3             0 1 1 1
wfilter3_process     0 1 1 1
wfilter4             0 1 1 1
wfilter4_process     0 1 1 1
